N,Z,binding,A,binding_MeV,N_frontier,d
136,93,7605.9921,229,1741.7721909000002,144.1,-8.099999999999994
40,36,8608.8077,76,654.2693852,55.4,-15.399999999999999
58,39,8541.4616,97,828.5217752,60.099999999999994,-2.0999999999999943
74,58,8352.3223,132,1102.5065436,88.6,-14.599999999999994
105,74,8023.2821,179,1436.1674959000002,111.0,-6.0
39,31,8709.2808,70,609.649656,47.599999999999994,-8.599999999999994
137,95,7564.0,232,1754.848,148.0,-11.0
15,18,7928.9559,33,261.6555447,28.099999999999998,-13.099999999999998
127,93,7602.0758,220,1672.456676,144.1,-17.099999999999994
95,76,7924.1769,171,1355.0342499,114.4,-19.400000000000006
88,65,8205.0504,153,1255.3727112,97.6,-9.599999999999994
96,81,7732.1655,177,1368.5932935,124.4,-28.400000000000006
78,69,7948.8178,147,1168.4762166,100.9,-22.900000000000006
86,57,8306.1271,143,1187.7761753,88.3,-2.299999999999997
121,80,7897.5607,201,1587.4097007,122.19999999999999,-1.1999999999999886
87,77,7750.0,164,1271.0,115.7,-28.700000000000003
104,75,8003.7666,179,1432.6742214,112.0,-8.0
40,37,8537.3396,77,657.3751491999999,57.4,-17.4
120,82,7882.1505,202,1592.194401,125.4,-5.400000000000006
127,84,7818.7842,211,1649.7634661999998,130.7,-3.6999999999999886
88,72,8006.3791,160,1281.0206560000001,106.9,-18.900000000000006
96,82,7690.8359,178,1368.9687902,125.4,-29.400000000000006
79,54,8412.6477,133,1118.8821440999998,83.4,-4.400000000000006
97,78,7869.5216,175,1377.16628,117.1,-20.099999999999994
111,83,7819.1955,194,1516.923927,129.0,-18.0
123,86,7792.1755,209,1628.5646795,133.6,-10.599999999999994
70,45,8410.6538,115,967.225187,71.3,-1.2999999999999972
11,7,7038.5627,18,126.69412860000001,13.5,-2.5
89,64,8220.4209,153,1257.7243976999998,96.6,-7.599999999999994
26,22,8723.0122,48,418.7045856,34.2,-8.200000000000003
87,67,8150.6825,154,1255.205105,99.6,-12.599999999999994
63,47,8532.1089,110,938.5319789999999,73.0,-10.0
8,12,6728.0252,20,134.560504,21.7,-13.7
80,60,8337.864,140,1167.30096,91.6,-11.599999999999994
109,84,7773.951,193,1500.372543,130.7,-21.69999999999999
83,62,8293.0139,145,1202.4870155,94.3,-11.299999999999997
14,12,8333.8711,26,216.68064859999998,21.7,-7.699999999999999
85,70,8043.8234,155,1246.792627,104.2,-19.200000000000003
30,33,8193.0,63,516.159,50.0,-20.0
159,108,7295.0,267,1947.7649999999999,163.8,-4.800000000000011
56,45,8588.2172,101,867.4099372,71.3,-15.299999999999997
94,76,7921.1258,170,1346.5913859999998,114.4,-20.400000000000006
113,80,7907.973,193,1526.238789,122.19999999999999,-9.199999999999989
94,67,8163.1134,161,1314.2612574,99.6,-5.599999999999994
128,95,7547.0,223,1682.981,148.0,-20.0
71,57,8337.1904,128,1067.1603711999999,88.3,-17.299999999999997
128,85,7790.0036,213,1659.2707668,132.6,-4.599999999999994
107,76,7985.0087,183,1461.2565921,114.4,-7.400000000000006
133,93,7604.1714,226,1718.5427364,144.1,-11.099999999999994
122,90,7682.0628,212,1628.5973136,139.0,-17.0
95,68,8144.7403,163,1327.5926689,100.9,-5.900000000000006
43,42,8361.332,85,710.7132200000001,65.6,-22.599999999999994
6,10,6083.1777,16,97.3308432,18.299999999999997,-12.299999999999997
33,33,8468.4034,66,558.9146244,50.0,-17.0
82,73,7858.0,155,1217.99,109.3,-27.299999999999997
101,78,7910.6759,179,1416.0109861,117.1,-16.099999999999994
158,105,7352.0,263,1933.576,159.2,-1.1999999999999886
34,32,8625.4383,66,569.2789277999999,48.7,-14.700000000000003
79,66,8116.8884,145,1176.948818,98.9,-19.900000000000006
39,33,8660.3786,72,623.5472592,50.0,-11.0
163,110,7250.0,273,1979.25,169.3,-6.300000000000011
59,55,8173.5711,114,931.7871054,85.0,-26.0
132,92,7635.0742,224,1710.2566208,142.9,-10.900000000000006
118,85,7803.6487,203,1584.1406861,132.6,-14.599999999999994
157,110,7248.0,267,1935.2160000000001,169.3,-12.300000000000011
115,88,7689.8015,203,1561.0297045,135.8,-20.80000000000001
110,77,7960.6692,187,1488.6451404,115.7,-5.700000000000003
101,81,7796.3571,182,1418.9369922,124.4,-23.400000000000006
109,82,7841.6782,191,1497.7605362000002,125.4,-16.400000000000006
94,73,8018.8614,167,1339.1498538,109.3,-15.299999999999997
28,24,8775.9946,52,456.35171920000005,37.599999999999994,-9.599999999999994
152,104,7385.4349,256,1890.6713344,157.4,-5.400000000000006
39,28,8695.7505,67,582.6152835,43.8,-4.799999999999997
64,43,8492.8979,107,908.7400753,67.9,-3.9000000000000057
99,72,8066.0687,171,1379.2977477000002,106.9,-7.900000000000006
93,64,8203.5072,157,1287.9506304000001,96.6,-3.5999999999999943
73,55,8406.4953,128,1076.0313984000002,85.0,-12.0
93,69,8117.5868,162,1315.0490616,100.9,-7.900000000000006
26,24,8701.0188,50,435.05093999999997,37.599999999999994,-11.599999999999994
26,19,8554.6747,45,384.9603615,29.799999999999997,-3.799999999999997
50,43,8608.5782,93,800.5977726,67.9,-17.900000000000006
60,45,8572.7053,105,900.1340564999999,71.3,-11.299999999999997
135,94,7586.8834,229,1737.3962986,147.3,-12.300000000000011
69,63,8018.0,132,1058.3760000000002,94.6,-25.599999999999994
98,74,8020.1757,172,1379.4702203999998,111.0,-13.0
113,87,7700.3292,200,1540.0658400000002,135.2,-22.19999999999999
73,59,8291.5377,132,1094.4829764,90.6,-17.599999999999994
99,77,7921.5522,176,1394.1931872,115.7,-16.700000000000003
68,58,8273.2581,126,1042.4305206,88.6,-20.599999999999994
11,15,7198.0,26,187.14800000000002,24.7,-13.7
69,53,8437.0139,122,1029.3156958,82.3,-13.299999999999997
86,75,7836.3292,161,1261.6490012,112.0,-26.0
88,57,8266.0873,145,1198.5826584999998,88.3,-0.29999999999999716
27,23,8695.9032,50,434.79516,36.5,-9.5
49,41,8633.377,90,777.0039300000001,64.5,-15.5
44,46,8113.0,90,730.17,72.7,-28.700000000000003
61,41,8504.8675,102,867.496485,64.5,-3.5
80,62,8285.9407,142,1176.6035794,94.3,-14.299999999999997
47,46,8318.5637,93,773.6264241,72.7,-25.700000000000003
86,68,8132.3919,154,1252.3883526,100.9,-14.900000000000006
45,36,8682.8206,81,703.3084686,55.4,-10.399999999999999
48,35,8693.3852,83,721.5509716,53.4,-5.399999999999999
97,67,8147.9234,164,1336.2594376,99.6,-2.5999999999999943
58,41,8578.9859,99,849.3196040999999,64.5,-6.5
76,56,8409.3747,132,1110.0374604,86.0,-10.0
78,52,8430.3251,130,1095.942263,80.7,-2.700000000000003
63,49,8514.6674,112,953.6427488,75.7,-12.700000000000003
88,70,8079.1999,158,1276.5135841999997,104.2,-16.200000000000003
85,71,7995.3752,156,1247.2785312,105.6,-20.599999999999994
47,49,8069.0,96,774.624,75.7,-28.700000000000003
91,79,7730.0,170,1314.1000000000001,119.0,-28.0
89,60,8255.4437,149,1230.0611112999998,91.6,-2.5999999999999943
55,43,8610.0047,98,843.7804606,67.9,-12.900000000000006
131,87,7726.7143,218,1684.4237173999998,135.2,-4.199999999999989
68,53,8441.4111,121,1021.4107431,82.3,-14.299999999999997
15,16,8281.8013,31,256.7358403,26.099999999999998,-11.099999999999998
61,42,8538.2672,103,879.4415216,65.6,-4.599999999999994
87,63,8241.3481,150,1236.202215,94.6,-7.599999999999994
22,23,8380.0394,45,377.101773,36.5,-14.5
102,74,8030.1131,176,1413.2999055999999,111.0,-9.0
3,6,4337.4233,9,39.0368097,11.799999999999999,-8.799999999999999
121,89,7698.0182,210,1616.5838220000003,137.7,-16.69999999999999
124,85,7814.7835,209,1633.2897515,132.6,-8.599999999999994
71,47,8433.89,118,995.19902,73.0,-2.0
54,38,8648.907,92,795.699444,58.8,-4.799999999999997
47,37,8676.2244,84,728.8028496,57.4,-10.399999999999999
68,62,8065.0,130,1048.45,94.3,-26.299999999999997
33,27,8746.7692,60,524.8061520000001,41.7,-8.700000000000003
58,52,8358.116,110,919.3927600000001,80.7,-22.700000000000003
108,76,7988.6778,184,1469.9167152,114.4,-6.400000000000006
59,54,8247.9277,113,932.0158301,83.4,-24.400000000000006
99,73,8037.7056,172,1382.4853632000002,109.3,-10.299999999999997
9,7,7373.7971,16,117.9807536,13.5,-4.5
135,90,7659.2229,225,1723.3251524999998,139.0,-4.0
90,67,8163.1373,157,1281.6125561000001,99.6,-9.599999999999994
151,101,7438.4444,252,1874.4879888000003,154.2,-3.1999999999999886
60,54,8289.2054,114,944.9694156,83.4,-23.400000000000006
35,38,8102.0,73,591.446,58.8,-23.799999999999997
90,77,7812.8254,167,1304.7418418,115.7,-25.700000000000003
113,85,7769.3446,198,1538.3302308,132.6,-19.599999999999994
85,56,8326.0774,141,1173.9769134,86.0,-1.0
88,63,8239.2998,151,1244.1342698,94.6,-6.599999999999994
46,32,8671.6636,78,676.3897608000001,48.7,-2.700000000000003
20,20,8551.3046,40,342.052184,30.799999999999997,-10.799999999999997
42,35,8666.8073,77,667.3441621000001,53.4,-11.399999999999999
32,34,8300.0,66,547.8000000000001,51.7,-19.700000000000003
110,75,7991.0101,185,1478.3368685,112.0,-2.0
51,42,8651.4095,93,804.5810835,65.6,-14.599999999999994
110,81,7877.1445,191,1504.5345995,124.4,-14.400000000000006
135,88,7685.3101,223,1713.8241523,135.8,-0.8000000000000114
4,9,4297.0,13,55.861,16.6,-12.600000000000001
57,38,8549.0875,95,812.1633124999998,58.8,-1.7999999999999972
86,65,8208.8743,151,1239.5400193,97.6,-11.599999999999994
41,37,8558.3512,78,667.5513935999999,57.4,-16.4
125,86,7793.9412,211,1644.5215931999999,133.6,-8.599999999999994
54,50,8383.9114,104,871.9267856,77.7,-23.700000000000003
74,48,8424.2667,122,1027.7605374,74.0,0.0
97,79,7825.3837,176,1377.2675312000001,119.0,-22.0
145,100,7465.0,245,1828.925,153.6,-8.599999999999994
84,62,8293.8581,146,1210.9032826,94.3,-10.299999999999997
88,58,8278.5081,146,1208.6621826,88.6,-0.5999999999999943
95,74,7994.5381,169,1351.0769389,111.0,-16.0
63,41,8453.3832,104,879.1518528000001,64.5,-1.5
57,53,8244.0767,110,906.8484369999999,82.3,-25.299999999999997
52,43,8622.6911,95,819.1556545000001,67.9,-15.900000000000006
100,71,8084.6621,171,1382.4772191,105.6,-5.599999999999994
67,59,8184.0,126,1031.184,90.6,-23.599999999999994
46,33,8676.6172,79,685.4527588000001,50.0,-4.0
15,10,7839.7994,25,195.99498499999999,18.299999999999997,-3.299999999999997
126,89,7719.4137,215,1659.6739455000002,137.7,-11.699999999999989
56,49,8464.7045,105,888.7939725,75.7,-19.700000000000003
139,93,7597.0,232,1762.5040000000001,144.1,-5.099999999999994
13,15,7907.4842,28,221.4095576,24.7,-11.7
54,44,8620.314,98,844.7907720000001,69.0,-15.0
27,25,8670.4087,52,450.86125239999996,39.3,-12.299999999999997
7,3,4531.3512,10,45.313512,7.3,-0.2999999999999998
58,50,8469.0273,108,914.6549484000001,77.7,-19.700000000000003
77,64,8164.609,141,1151.209869,96.6,-19.599999999999994
116,78,7935.942,194,1539.572748,117.1,-1.0999999999999943
51,49,8329.7495,100,832.97495,75.7,-24.700000000000003
42,31,8693.874,73,634.652802,47.599999999999994,-5.599999999999994
14,17,7869.2101,31,243.9455131,28.099999999999998,-14.099999999999998
12,16,7478.7911,28,209.4061508,26.099999999999998,-14.099999999999998
43,30,8648.3455,73,631.3292215,45.7,-2.700000000000003
43,32,8695.6096,75,652.17072,48.7,-5.700000000000003
148,97,7509.2714,245,1839.7714929999997,150.6,-2.5999999999999943
135,89,7670.1438,224,1718.1122112,137.7,-2.6999999999999886
91,60,8230.2741,151,1242.7713891,91.6,-0.5999999999999943
96,67,8156.967,163,1329.585621,99.6,-3.5999999999999943
151,105,7359.0,256,1883.904,159.2,-8.199999999999989
161,108,7294.0,269,1962.0859999999998,163.8,-2.8000000000000114
93,70,8099.1069,163,1320.1544246999997,104.2,-11.200000000000003
25,25,8532.6823,50,426.63411500000007,39.3,-14.299999999999997
34,30,8735.9057,64,559.0979648,45.7,-11.700000000000003
87,69,8089.6032,156,1261.9780991999999,100.9,-13.900000000000006
122,91,7644.8027,213,1628.3429751,139.6,-17.599999999999994
58,46,8584.8485,104,892.8242439999999,72.7,-14.700000000000003
83,74,7828.0,157,1228.996,111.0,-28.0
121,83,7854.2157,204,1602.2600028,129.0,-8.0
7,11,6202.2176,18,111.6399168,20.0,-13.0
154,103,7397.0,257,1901.029,156.7,-2.6999999999999886
57,44,8601.366,101,868.737966,69.0,-12.0
90,61,8241.2723,151,1244.4321173,92.9,-2.9000000000000057
11,8,7566.4952,19,143.7634088,14.2,-3.1999999999999993
92,80,7713.6064,172,1326.7403007999999,122.19999999999999,-30.19999999999999
98,66,8158.7129,164,1338.0289156000001,98.9,-0.9000000000000057
83,63,8261.9327,146,1206.2421742,94.6,-11.599999999999994
20,12,7803.8411,32,249.7229152,21.7,-1.6999999999999993
76,51,8439.811,127,1071.855997,79.3,-3.299999999999997
106,82,7824.8211,188,1471.0663668,125.4,-19.400000000000006
84,64,8248.3398,148,1220.7542904,96.6,-12.599999999999994
70,52,8478.1315,122,1034.3320429999999,80.7,-10.700000000000003
38,37,8448.2762,75,633.620715,57.4,-19.4
126,87,7768.4543,213,1654.6807659,135.2,-9.199999999999989
134,88,7696.6931,222,1708.6658682,135.8,-1.8000000000000114
99,79,7849.3946,178,1397.1922387999998,119.0,-20.0
21,23,8203.4567,44,360.9520948,36.5,-15.5
41,29,8646.8655,70,605.2805850000001,44.7,-3.700000000000003
63,57,8179.0,120,981.48,88.3,-25.299999999999997
49,40,8673.3865,89,771.9313985000001,62.2,-13.200000000000003
8,6,7520.3198,14,105.2844772,11.799999999999999,-3.799999999999999
53,42,8648.7212,95,821.6285140000001,65.6,-12.599999999999994
66,50,8523.1166,116,988.6815256,77.7,-11.700000000000003
89,69,8101.1994,158,1279.9895052000002,100.9,-11.900000000000006
14,19,7392.0,33,243.936,29.799999999999997,-15.799999999999997
138,91,7629.8752,229,1747.2414208000002,139.6,-1.5999999999999943
24,25,8439.915,49,413.55583500000006,39.3,-15.299999999999997
51,35,8632.3659,86,742.3834674,53.4,-2.3999999999999986
65,55,8328.4811,120,999.4177320000001,85.0,-20.0
101,71,8078.2334,172,1389.4561448,105.6,-4.599999999999994
39,25,8437.4175,64,539.9947199999999,39.3,-0.29999999999999716
10,15,6794.0,25,169.85,24.7,-14.7
101,77,7936.563,178,1412.708214,115.7,-14.700000000000003
58,56,8089.6865,114,922.2242609999998,86.0,-28.0
132,93,7607.4231,225,1711.6701975,144.1,-12.099999999999994
55,51,8322.0124,106,882.1333144,79.3,-24.299999999999997
78,54,8427.6229,132,1112.4462228000002,83.4,-5.400000000000006
18,15,8513.8073,33,280.9556409,24.7,-6.699999999999999
78,66,8105.5902,144,1167.2049888,98.9,-20.900000000000006
104,73,8040.8289,177,1423.2267153000003,109.3,-5.299999999999997
108,86,7694.9961,194,1492.8292434,133.6,-25.599999999999994
89,72,8009.1245,161,1289.4690445,106.9,-17.900000000000006
105,81,7837.5161,186,1457.7779946,124.4,-19.400000000000006
103,74,8025.0359,177,1420.4313543,111.0,-8.0
149,96,7515.7677,245,1841.3630865,149.6,-0.5999999999999943
83,69,8056.4387,152,1224.5786824,100.9,-17.900000000000006
142,96,7547.9966,238,1796.4231908000002,149.6,-7.599999999999994
139,96,7547.0,235,1773.5449999999998,149.6,-10.599999999999994
100,76,7972.8681,176,1403.2247856,114.4,-14.400000000000006
137,90,7647.4591,227,1735.9732156999999,139.0,-2.0
53,50,8343.0,103,859.329,77.7,-24.700000000000003
139,90,7634.651,229,1748.335079,139.0,0.0
23,26,8161.3121,49,399.9042929,40.7,-17.700000000000003
116,80,7914.37,196,1551.21652,122.19999999999999,-6.199999999999989
156,107,7318.0,263,1924.6339999999998,163.4,-7.400000000000006
41,27,8520.1301,68,579.3688468,41.7,-0.7000000000000028
89,63,8226.5854,152,1250.4409807999998,94.6,-5.599999999999994
79,65,8151.2877,144,1173.7854287999999,97.6,-18.599999999999994
27,20,8639.3548,47,406.0496756,30.799999999999997,-3.799999999999997
71,61,8177.0,132,1079.364,92.9,-21.900000000000006
51,50,8281.103,101,836.391403,77.7,-26.700000000000003
121,84,7836.2168,205,1606.424444,130.7,-9.699999999999989
29,24,8760.2103,53,464.29114590000006,37.599999999999994,-8.599999999999994
153,103,7398.1605,256,1893.929088,156.7,-3.6999999999999886
57,51,8372.6666,108,904.2479928,79.3,-22.299999999999997
40,40,8365.0,80,669.2,62.2,-22.200000000000003
114,85,7781.4883,199,1548.5161717,132.6,-18.599999999999994
26,27,8477.6578,53,449.31586340000007,41.7,-15.700000000000003
36,36,8429.3193,72,606.9109896,55.4,-19.4
109,75,7992.7517,184,1470.6663128,112.0,-3.0
50,46,8490.0207,96,815.0419871999999,72.7,-22.700000000000003
71,51,8468.3222,122,1033.1353084000002,79.3,-8.299999999999997
78,60,8325.4946,138,1148.9182548,91.6,-13.599999999999994
67,45,8468.8666,112,948.5130592,71.3,-4.299999999999997
58,44,8607.4275,102,877.9576050000001,69.0,-11.0
58,54,8230.0646,112,921.7672352000001,83.4,-25.400000000000006
86,71,8013.3128,157,1258.0901096,105.6,-19.599999999999994
74,52,8463.2397,126,1066.3682022,80.7,-6.700000000000003
95,67,8155.4126,162,1321.1768412,99.6,-4.599999999999994
90,80,7671.0,170,1304.07,122.19999999999999,-32.19999999999999
79,69,7968.5011,148,1179.3381628,100.9,-21.900000000000006
19,13,8100.3449,32,259.2110368,23.4,-4.399999999999999
57,48,8516.8532,105,894.269586,74.0,-17.0
87,78,7703.0,165,1270.9950000000001,117.1,-30.099999999999994
68,52,8476.9857,120,1017.2382839999998,80.7,-12.700000000000003
32,26,8792.2534,58,509.9506972,40.7,-8.700000000000003
127,85,7798.34,212,1653.24808,132.6,-5.599999999999994
62,40,8466.294,102,863.5619879999999,62.2,-0.20000000000000284
141,93,7589.6382,234,1775.9753388000001,144.1,-3.0999999999999943
69,61,8131.0,130,1057.03,92.9,-23.900000000000006
73,51,8456.1517,124,1048.5628107999999,79.3,-6.299999999999997
107,83,7785.3239,190,1479.2115410000001,129.0,-22.0
17,14,8458.2916,31,262.20703960000003,23.4,-6.399999999999999
149,100,7461.8649,249,1858.0043600999998,153.6,-4.599999999999994
106,78,7942.5649,184,1461.4319416,117.1,-11.099999999999994
94,65,8188.8025,159,1302.0195975,97.6,-3.5999999999999943
145,97,7519.0,242,1819.598,150.6,-5.599999999999994
86,67,8153.6372,153,1247.5064916000001,99.6,-13.599999999999994
89,59,8249.5409,148,1220.9320532,90.6,-1.5999999999999943
120,84,7839.0823,204,1599.1727892000001,130.7,-10.699999999999989
42,42,8325.0,84,699.3,65.6,-23.599999999999994
82,57,8377.9987,139,1164.5418193,88.3,-6.299999999999997
76,60,8308.5127,136,1129.9577272,91.6,-15.599999999999994
69,47,8465.9073,116,982.0452468000002,73.0,-4.0
4,4,7062.4356,8,56.4994848,8.7,-4.699999999999999
94,68,8152.3959,162,1320.6881358,100.9,-6.900000000000006
81,67,8108.9797,148,1200.1289955999998,99.6,-18.599999999999994
61,43,8541.107,104,888.275128,67.9,-6.900000000000006
52,38,8696.0043,90,782.640387,58.8,-6.799999999999997
84,68,8119.3485,152,1234.140972,100.9,-16.900000000000006
22,13,7787.1243,35,272.5493505,23.4,-1.3999999999999986
69,46,8457.7342,115,972.639433,72.7,-3.700000000000003
21,25,7916.0805,46,364.139703,39.3,-18.299999999999997
79,67,8063.2426,146,1177.2334196,99.6,-20.599999999999994
84,59,8329.428,143,1191.1082040000001,90.6,-6.599999999999994
146,102,7424.0,248,1841.152,155.1,-9.099999999999994
8,4,5720.7223,12,68.64866760000001,8.7,-0.6999999999999993
104,78,7934.7541,182,1444.1252462,117.1,-13.099999999999994
15,19,7670.0,34,260.78,29.799999999999997,-14.799999999999997
96,64,8183.0171,160,1309.282736,96.6,-0.5999999999999943
136,89,7665.6906,225,1724.7803849999998,137.7,-1.6999999999999886
80,58,8377.0408,138,1156.0316304000003,88.6,-8.599999999999994
92,65,8198.1416,157,1287.1082312000003,97.6,-5.599999999999994
159,110,7250.1551,269,1950.2917218999999,169.3,-10.300000000000011
62,47,8547.9155,109,931.7227894999999,73.0,-11.0
49,33,8611.4153,82,706.1360546000001,50.0,-1.0
46,37,8675.2193,83,720.0432019,57.4,-11.399999999999999
28,17,8181.5991,45,368.17195949999996,28.099999999999998,-0.09999999999999787
24,23,8582.2348,47,403.3650356,36.5,-12.5
65,50,8514.0702,115,979.1180730000001,77.7,-12.700000000000003
154,106,7342.5632,260,1909.0664319999998,159.7,-5.699999999999989
114,82,7873.3374,196,1543.1741304000002,125.4,-11.400000000000006
71,56,8378.456,127,1064.063912,86.0,-15.0
40,35,8627.6497,75,647.0737274999999,53.4,-13.399999999999999
19,15,8448.1856,34,287.2383104,24.7,-5.699999999999999
32,29,8715.5148,61,531.6464028,44.7,-12.700000000000003
64,49,8522.9297,113,963.0910561000001,75.7,-11.700000000000003
30,32,8347.0,62,517.514,48.7,-18.700000000000003
132,89,7690.5039,221,1699.6013618999998,137.7,-5.699999999999989
44,35,8687.5956,79,686.3200524,53.4,-9.399999999999999
75,59,8312.8817,134,1113.9261478,90.6,-15.599999999999994
24,28,8083.8977,52,420.3626804,43.8,-19.799999999999997
48,36,8717.4473,84,732.2655732,55.4,-7.399999999999999
139,94,7583.7968,233,1767.0246544,147.3,-8.300000000000011
152,101,7438.0,253,1881.8139999999999,154.2,-2.1999999999999886
152,100,7456.0351,252,1878.9208452,153.6,-1.5999999999999943
46,46,8275.5695,92,761.352394,72.7,-26.700000000000003
150,99,7474.0,249,1861.026,152.9,-2.9000000000000057
67,52,8462.0785,119,1006.9873415000001,80.7,-13.700000000000003
78,65,8138.2176,143,1163.7651168000002,97.6,-19.599999999999994
44,40,8549.0301,84,718.1185284,62.2,-18.200000000000003
131,85,7753.0024,216,1674.6485184,132.6,-1.5999999999999943
19,14,8361.0596,33,275.9149668,23.4,-4.399999999999999
121,86,7787.9987,207,1612.1157309,133.6,-12.599999999999994
138,93,7602.1321,231,1756.0925151,144.1,-6.099999999999994
34,29,8752.1404,63,551.3848452,44.7,-10.700000000000003
53,45,8560.8038,98,838.9587724,71.3,-18.299999999999997
41,38,8523.8558,79,673.3846082,58.8,-17.799999999999997
31,23,8662.1382,54,467.7554628,36.5,-5.5
35,28,8763.4955,63,552.1002165000001,43.8,-8.799999999999997
9,11,7298.5028,20,145.970056,20.0,-11.0
113,86,7741.0568,199,1540.4703032,133.6,-20.599999999999994
156,105,7357.0,261,1920.1770000000001,159.2,-3.1999999999999886
8,14,6044.0,22,132.968,23.4,-15.399999999999999
82,63,8269.2744,145,1199.0447880000002,94.6,-12.599999999999994
112,76,7973.8656,188,1499.0867328,114.4,-2.4000000000000057
113,78,7938.7279,191,1516.2970289,117.1,-4.099999999999994
125,85,7811.6638,210,1640.449398,132.6,-7.599999999999994
108,82,7841.1294,190,1489.814586,125.4,-17.400000000000006
55,42,8635.0926,97,837.6039822,65.6,-10.599999999999994
92,69,8120.4906,161,1307.3989866,100.9,-8.900000000000006
21,22,8352.8054,43,359.1706322,34.2,-13.200000000000003
82,70,8015.4371,152,1218.3464392,104.2,-22.200000000000003
107,79,7909.5409,186,1471.1746074,119.0,-12.0
59,49,8495.2516,108,917.4871727999999,75.7,-16.700000000000003
112,84,7804.7445,196,1529.729922,130.7,-18.69999999999999
109,77,7958.0473,186,1480.1967978,115.7,-6.700000000000003
76,64,8154.9757,140,1141.696598,96.6,-20.599999999999994
31,27,8738.9719,58,506.86037020000003,41.7,-10.700000000000003
31,25,8738.3358,56,489.3468048000001,39.3,-8.299999999999997
122,81,7886.053,203,1600.868759,124.4,-2.4000000000000057
145,96,7536.8488,241,1816.3805607999998,149.6,-4.599999999999994
69,56,8358.1784,125,1044.7723,86.0,-17.0
52,49,8370.426,101,845.4130260000001,75.7,-23.700000000000003
56,44,8619.3593,100,861.9359299999999,69.0,-13.0
96,68,8149.0191,164,1336.4391324,100.9,-4.900000000000006
26,25,8633.7602,51,440.32177020000006,39.3,-13.299999999999997
115,87,7719.0125,202,1559.240525,135.2,-20.19999999999999
98,77,7917.9112,175,1385.63446,115.7,-17.700000000000003
6,4,6497.6306,10,64.97630600000001,8.7,-2.6999999999999993
67,48,8510.7252,115,978.7333980000002,74.0,-7.0
19,16,8537.8511,35,298.82478849999995,26.099999999999998,-7.099999999999998
30,21,8597.2213,51,438.45828629999994,33.099999999999994,-3.0999999999999943
106,72,8049.4438,178,1432.8009964,106.9,-0.9000000000000057
119,81,7889.7037,200,1577.94074,124.4,-5.400000000000006
71,48,8461.4381,119,1006.9111338999999,74.0,-3.0
28,21,8686.2805,49,425.6277445,33.099999999999994,-5.099999999999994
70,46,8449.2755,116,980.1159580000001,72.7,-2.700000000000003
15,14,8448.6361,29,245.0104469,23.4,-8.399999999999999
36,24,8540.1876,60,512.411256,37.599999999999994,-1.5999999999999943
111,87,7679.1873,198,1520.4790854,135.2,-24.19999999999999
144,98,7509.0991,242,1817.2019822,152.3,-8.300000000000011
148,98,7499.122,246,1844.784012,152.3,-4.300000000000011
49,35,8671.3294,84,728.3916696000001,53.4,-4.399999999999999
16,14,8520.6549,30,255.61964700000001,23.4,-7.399999999999999
19,12,7869.1886,31,243.9448466,21.7,-2.6999999999999993
43,34,8694.6908,77,669.4911916,51.7,-8.700000000000003
24,19,8576.2204,43,368.7774772,29.799999999999997,-5.799999999999997
54,42,8653.988,96,830.7828480000001,65.6,-11.599999999999994
160,108,7297.0,268,1955.596,163.8,-3.8000000000000114
107,84,7753.7871,191,1480.9733360999999,130.7,-23.69999999999999
23,25,8274.1924,48,397.1612352,39.3,-16.299999999999997
91,75,7909.6392,166,1313.0001072,112.0,-21.0
95,66,8173.3093,161,1315.9027973,98.9,-3.9000000000000057
45,42,8462.4243,87,736.2309141000001,65.6,-20.599999999999994
72,46,8405.2197,118,991.8159246,72.7,-0.7000000000000028
26,17,8323.8672,43,357.9262896,28.099999999999998,-2.099999999999998
43,36,8657.113,79,683.9119269999999,55.4,-12.399999999999999
61,50,8493.131,111,942.737541,77.7,-16.700000000000003
36,33,8611.8214,69,594.2156766,50.0,-14.0
81,71,7926.0,152,1204.752,105.6,-24.599999999999994
97,70,8106.202,167,1353.7357339999999,104.2,-7.200000000000003
49,39,8682.5396,88,764.0634848,60.099999999999994,-11.099999999999994
4,3,5606.4401,7,39.245080699999995,7.3,-3.3
152,99,7465.8842,251,1873.9369342000002,152.9,-0.9000000000000057
41,31,8687.0893,72,625.4704296,47.599999999999994,-6.599999999999994
6,3,5037.7685,9,45.3399165,7.3,-1.2999999999999998
89,78,7746.0,167,1293.582,117.1,-28.099999999999994
97,80,7789.8947,177,1378.8113618999998,122.19999999999999,-25.19999999999999
38,35,8568.0803,73,625.4698619,53.4,-15.399999999999999
28,19,8514.8795,47,400.19933649999996,29.799999999999997,-1.7999999999999972
69,54,8420.9239,123,1035.7736397,83.4,-14.400000000000006
33,35,8239.0,68,560.2520000000001,53.4,-20.4
26,20,8668.9848,46,398.7733008,30.799999999999997,-4.799999999999997
68,48,8512.3511,116,987.4327276,74.0,-6.0
108,74,8018.3096,182,1459.3323472,111.0,-3.0
85,57,8320.8263,142,1181.5573346,88.3,-3.299999999999997
103,71,8071.454,174,1404.4329959999998,105.6,-2.5999999999999943
115,78,7933.7875,193,1531.2209875,117.1,-2.0999999999999943
68,46,8488.0056,114,967.6326384000001,72.7,-4.700000000000003
102,82,7782.7264,184,1432.0216576,125.4,-23.400000000000006
87,70,8062.7551,157,1265.8525507000002,104.2,-17.200000000000003
