N,Z,binding,A,binding_MeV,N_frontier,d
155,106,7339.771,261,1915.680231,159.7,-4.699999999999989
22,24,8303.8233,46,381.9758718,37.599999999999994,-15.599999999999994
25,18,8488.2382,43,364.9942426,28.099999999999998,-3.099999999999998
65,51,8475.8208,116,983.1952127999999,79.3,-14.299999999999997
147,94,7546.4395,241,1818.6919195,147.3,-0.30000000000001137
158,107,7316.0,265,1938.74,163.4,-5.400000000000006
58,48,8539.0492,106,905.1392151999999,74.0,-16.0
129,91,7655.5364,220,1684.218008,139.6,-10.599999999999994
124,91,7657.3733,215,1646.3352595000001,139.6,-15.599999999999994
96,80,7782.664,176,1369.748864,122.19999999999999,-26.19999999999999
77,58,8361.9861,135,1128.8681235,88.6,-11.599999999999994
154,105,7360.3626,259,1906.3339134,159.2,-5.199999999999989
36,32,8688.1371,68,590.7933228,48.7,-12.700000000000003
70,60,8222.5136,130,1068.926768,91.6,-21.599999999999994
29,22,8708.9912,51,444.1585512,34.2,-5.200000000000003
79,63,8226.396,142,1168.1482320000002,94.6,-15.599999999999994
21,19,8538.0907,40,341.52362800000003,29.799999999999997,-8.799999999999997
74,66,8008.0,140,1121.12,98.9,-24.900000000000006
41,36,8616.837,77,663.496449,55.4,-14.399999999999999
24,29,7891.0,53,418.223,44.7,-20.700000000000003
86,56,8310.9718,142,1180.1579955999998,86.0,0.0
131,91,7651.2373,222,1698.5746806,139.6,-8.599999999999994
55,36,8541.7519,91,777.2994229,55.4,-0.3999999999999986
62,55,8271.8652,117,967.8082284000001,85.0,-23.0
87,64,8231.0446,151,1242.8877346,96.6,-9.599999999999994
141,100,7459.0,241,1797.619,153.6,-12.599999999999994
76,63,8187.2187,139,1138.0233993000002,94.6,-18.599999999999994
109,73,8012.6332,182,1458.2992424,109.3,-0.29999999999999716
39,30,8722.7311,69,601.8684459000001,45.7,-6.700000000000003
133,87,7709.743,220,1696.14346,135.2,-2.1999999999999886
146,94,7556.0433,240,1813.4503920000002,147.3,-1.3000000000000114
138,96,7550.6868,234,1766.8607112,149.6,-11.599999999999994
74,65,8052.0,139,1119.2279999999998,97.6,-23.599999999999994
68,51,8487.9218,119,1010.0626942,79.3,-11.299999999999997
13,7,6709.1717,20,134.183434,13.5,-0.5
123,87,7763.1243,210,1630.2561030000002,135.2,-12.199999999999989
64,41,8431.6925,105,885.3277124999998,64.5,-0.5
30,23,8710.1425,53,461.63755249999997,36.5,-6.5
68,49,8503.8653,117,994.9522400999999,75.7,-7.700000000000003
37,37,8381.7123,74,620.2467101999999,57.4,-20.4
97,82,7701.463,179,1378.5618769999999,125.4,-28.400000000000006
143,96,7543.0659,239,1802.7927501,149.6,-6.599999999999994
70,54,8437.6138,124,1046.2641112,83.4,-13.400000000000006
123,82,7874.3313,205,1614.2379165,125.4,-2.4000000000000057
94,66,8184.0526,160,1309.448416,98.9,-4.900000000000006
28,30,8395.9467,58,486.9649086,45.7,-17.700000000000003
116,79,7921.3778,195,1544.6686710000001,119.0,-3.0
160,110,7253.7634,270,1958.5161179999998,169.3,-9.300000000000011
27,28,8497.3225,55,467.35273750000005,43.8,-16.799999999999997
75,66,8027.0,141,1131.8069999999998,98.9,-23.900000000000006
46,34,8710.8142,80,696.8651360000001,51.7,-5.700000000000003
7,6,7469.8495,13,97.10804350000001,11.799999999999999,-4.799999999999999
43,41,8417.9563,84,707.1083292000001,64.5,-21.5
77,69,7914.0,146,1155.444,100.9,-23.900000000000006
77,54,8423.7367,131,1103.5095076999999,83.4,-6.400000000000006
73,61,8213.4131,134,1100.5973554,92.9,-19.900000000000006
147,96,7526.9261,243,1829.0430423,149.6,-2.5999999999999943
123,89,7708.4479,212,1634.1909548,137.7,-14.699999999999989
79,58,8367.2497,137,1146.3132089,88.6,-9.599999999999994
60,42,8568.3994,102,873.9767388,65.6,-5.599999999999994
21,26,7790.0,47,366.13,40.7,-19.700000000000003
47,35,8682.4953,82,711.9646146000001,53.4,-6.399999999999999
54,52,8236.7682,106,873.0974292000001,80.7,-26.700000000000003
60,40,8522.1066,100,852.2106599999998,62.2,-2.200000000000003
114,81,7890.7293,195,1538.6922135,124.4,-10.400000000000006
61,48,8538.7646,109,930.7253414,74.0,-13.0
29,26,8746.5981,55,481.06289549999997,40.7,-11.700000000000003
12,11,8111.4936,23,186.5643528,20.0,-8.0
106,83,7780.9999,189,1470.6089811,129.0,-23.0
99,82,7734.0704,181,1399.8667423999998,125.4,-26.400000000000006
